,title,artist,genre,year,added,bpm,energy,danceability,db,liveness,valence,duration,acousticness,speechiness,popularity,country
751,Memories,Maroon 5,pop,2019,1969-12-31,91.0,32.0,76.0,-7.0,8.0,57.0,189,84.0,5.0,99,indonesia
752,ROXANNE,Arizona Zervas,pop rap,2019,1969-12-31,117.0,60.0,62.0,-6.0,46.0,46.0,164,5.0,15.0,99,indonesia
753,Lose You To Love Me,Selena Gomez,dance pop,2019,1969-12-31,102.0,34.0,51.0,-9.0,21.0,9.0,206,58.0,4.0,97,indonesia
754,Falling,Trevor Daniel,alternative r&b,2018,1969-12-31,127.0,43.0,78.0,-9.0,9.0,24.0,159,12.0,4.0,97,indonesia
755,Someone You Loved,Lewis Capaldi,pop,2019,1969-12-31,110.0,41.0,50.0,-6.0,11.0,45.0,182,75.0,3.0,96,indonesia
756,Lucid Dreams,Juice WRLD,chicago rap,2018,1969-12-31,84.0,57.0,51.0,-7.0,34.0,22.0,240,35.0,20.0,94,indonesia
757,"10,000 Hours (with Justin Bieber)",Dan + Shay,contemporary country,2019,1969-12-31,90.0,63.0,65.0,-5.0,11.0,43.0,168,15.0,3.0,93,indonesia
758,It's You,Ali Gatie,canadian hip hop,2019,1969-12-31,96.0,46.0,73.0,-7.0,19.0,40.0,213,37.0,3.0,90,indonesia
759,Señorita,Shawn Mendes,canadian pop,2019,1969-12-31,117.0,55.0,76.0,-6.0,8.0,75.0,191,4.0,3.0,89,indonesia
760,Mean It,Lauv,pop,2019,1969-12-31,96.0,45.0,75.0,-9.0,17.0,34.0,233,4.0,9.0,89,indonesia
761,Boy With Luv (feat. Halsey),BTS,k-pop,2019,1969-12-31,120.0,86.0,65.0,-5.0,19.0,80.0,230,9.0,10.0,87,indonesia
762,comethru,Jeremy Zucker,pop,2018,1969-12-31,94.0,18.0,80.0,-12.0,62.0,61.0,182,61.0,6.0,86,indonesia
763,Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,1969-12-31,93.0,65.0,64.0,-8.0,8.0,55.0,198,12.0,19.0,86,indonesia
764,I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,1969-12-31,102.0,68.0,80.0,-5.0,9.0,84.0,220,9.0,4.0,85,indonesia
765,On My Way,Alan Walker,electro house,2019,1969-12-31,170.0,69.0,51.0,-5.0,30.0,30.0,194,2.0,10.0,84,indonesia
766,Can We Kiss Forever?,Kina,pop,2018,1969-12-31,110.0,13.0,52.0,-19.0,9.0,12.0,188,89.0,4.0,84,indonesia
767,So Am I,Ava Max,dance pop,2019,1969-12-31,130.0,66.0,68.0,-5.0,35.0,61.0,183,7.0,4.0,84,indonesia
768,Takeaway,The Chainsmokers,electropop,2019,1969-12-31,100.0,51.0,53.0,-8.0,10.0,35.0,210,13.0,3.0,83,indonesia
769,Location Unknown <U+25D0> - Brooklyn Session,HONNE,uk pop,2019,1969-12-31,92.0,29.0,51.0,-7.0,8.0,40.0,328,94.0,4.0,80,indonesia
771,I Love You 3000,Stephanie Poetri,indonesian pop,2019,1969-12-31,90.0,38.0,65.0,-8.0,39.0,41.0,210,91.0,4.0,79,indonesia
772,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,SHAUN,k-pop,2018,1969-12-31,106.0,75.0,74.0,-5.0,22.0,45.0,192,27.0,3.0,79,indonesia
773,Tolong,Budi Doremi,indonesian pop,2018,1969-12-31,136.0,20.0,44.0,-12.0,10.0,24.0,250,89.0,4.0,78,indonesia
774,lowkey,NIKI,indie r&b,2019,1969-12-31,118.0,49.0,75.0,-8.0,9.0,23.0,171,43.0,6.0,78,indonesia
775,Lebih Dari Egoku,Mawar De Jongh,indonesian pop,2019,1969-12-31,80.0,39.0,67.0,-8.0,10.0,33.0,249,74.0,3.0,77,indonesia
776,100 Degrees,Rich Brian,indonesian hip hop,2019,1969-12-31,81.0,65.0,76.0,-5.0,52.0,66.0,166,12.0,7.0,77,indonesia
777,Waktu Yang Salah,Fiersa Besari,indonesian indie,2014,1969-12-31,130.0,28.0,67.0,-11.0,10.0,30.0,326,79.0,3.0,76,indonesia
778,Celengan Rindu,Fiersa Besari,indonesian indie,2014,1969-12-31,117.0,54.0,64.0,-8.0,14.0,66.0,224,11.0,4.0,76,indonesia
779,Tanpa Tergesa,Juicy Luicy,indonesian pop,2018,1969-12-31,96.0,29.0,70.0,-7.0,11.0,45.0,218,31.0,3.0,76,indonesia
780,Psycho,Red Velvet,k-pop,2019,1969-12-31,140.0,67.0,66.0,-2.0,9.0,41.0,211,19.0,4.0,75,indonesia
781,Selamat (Selamat Tinggal),Virgoun,indonesian pop,2019,1969-12-31,80.0,58.0,36.0,-9.0,12.0,37.0,314,52.0,3.0,75,indonesia
782,Adu Rayu,Yovie Widianto,indonesian pop,2019,1969-12-31,100.0,37.0,56.0,-12.0,11.0,22.0,208,60.0,5.0,75,indonesia
783,Pilu Membiru,Kunto Aji,indonesian indie,2018,1969-12-31,82.0,27.0,36.0,-11.0,12.0,5.0,252,89.0,3.0,75,indonesia
784,One Only,Pamungkas,indonesian indie,2018,1969-12-31,145.0,52.0,25.0,-6.0,9.0,11.0,255,22.0,3.0,74,indonesia
785,Kumau Dia,Andmesh,indonesian pop,2019,1969-12-31,158.0,51.0,47.0,-9.0,32.0,60.0,256,16.0,3.0,73,indonesia
786,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan",Fiersa Besari,indonesian indie,2019,1969-12-31,125.0,83.0,53.0,-5.0,20.0,25.0,250,13.0,4.0,72,indonesia
787,April,Fiersa Besari,indonesian indie,2014,1969-12-31,80.0,47.0,36.0,-8.0,19.0,57.0,264,59.0,3.0,72,indonesia
788,Dan...,Sheila On 7,indonesian pop,1999,1969-12-31,125.0,54.0,66.0,-12.0,11.0,54.0,289,16.0,3.0,72,indonesia
789,I Love You but I'm Letting Go,Pamungkas,indonesian indie,2018,1969-12-31,80.0,32.0,39.0,-9.0,11.0,13.0,220,97.0,3.0,71,indonesia
792,Kenangan Manis,Pamungkas,indonesian indie,2018,1969-12-31,140.0,68.0,60.0,-7.0,9.0,72.0,208,5.0,3.0,69,indonesia
793,Bicara (feat. Monita Tahalea),TheOvertunes,indonesian pop,2019,1969-12-31,77.0,37.0,57.0,-9.0,8.0,37.0,236,56.0,3.0,68,indonesia
794,Cinta Luar Biasa,Andmesh,indonesian pop,2019,1969-12-31,136.0,23.0,58.0,-12.0,10.0,32.0,256,81.0,3.0,66,indonesia
795,Nyaman,Andmesh,indonesian pop,2019,1969-12-31,83.0,31.0,54.0,-11.0,15.0,46.0,227,82.0,3.0,65,indonesia
796,Hanya Rindu,Andmesh,indonesian pop,2019,1969-12-31,179.0,16.0,28.0,-12.0,11.0,20.0,252,89.0,3.0,65,indonesia
797,Secukupnya,Hindia,indonesian indie,2019,1969-12-31,102.0,80.0,73.0,-5.0,35.0,93.0,205,19.0,3.0,65,indonesia
798,Speechless (Full),Naomi Scott,hollywood,2019,1969-12-31,125.0,49.0,47.0,-8.0,12.0,23.0,209,47.0,3.0,65,indonesia
799,Tak Ingin Pisah Lagi,Marion Jola,indonesian pop,2019,1969-12-31,95.0,40.0,66.0,-6.0,14.0,34.0,266,58.0,3.0,64,indonesia
800,Dance Monkey,Tones and I,australian pop,2019,1969-12-31,98.0,59.0,82.0,-6.0,15.0,51.0,209,69.0,9.0,100,israel
801,ROXANNE,Arizona Zervas,pop rap,2019,1969-12-31,117.0,60.0,62.0,-6.0,46.0,46.0,164,5.0,15.0,99,israel
802,Memories,Maroon 5,pop,2019,1969-12-31,91.0,32.0,76.0,-7.0,8.0,57.0,189,84.0,5.0,99,israel
803,Circles,Post Malone,dfw rap,2019,1969-12-31,120.0,76.0,70.0,-3.0,9.0,55.0,215,19.0,4.0,99,israel
804,everything i wanted,Billie Eilish,electropop,2019,1969-12-31,120.0,23.0,70.0,-14.0,11.0,24.0,245,90.0,10.0,98,israel
805,Falling,Trevor Daniel,alternative r&b,2018,1969-12-31,127.0,43.0,78.0,-9.0,9.0,24.0,159,12.0,4.0,97,israel
806,Don't Start Now,Dua Lipa,dance pop,2019,1969-12-31,124.0,79.0,79.0,-5.0,10.0,68.0,183,1.0,8.0,97,israel
807,bad guy,Billie Eilish,electropop,2019,1969-12-31,135.0,43.0,70.0,-11.0,10.0,56.0,194,33.0,38.0,96,israel
808,Someone You Loved,Lewis Capaldi,pop,2019,1969-12-31,110.0,41.0,50.0,-6.0,11.0,45.0,182,75.0,3.0,96,israel
809,HIGHEST IN THE ROOM,Travis Scott,rap,2019,1969-12-31,76.0,43.0,60.0,-9.0,21.0,6.0,176,5.0,3.0,96,israel
810,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,1969-12-31,171.0,80.0,51.0,-4.0,9.0,35.0,202,0.0,6.0,96,israel
811,Lucid Dreams,Juice WRLD,chicago rap,2018,1969-12-31,84.0,57.0,51.0,-7.0,34.0,22.0,240,35.0,20.0,94,israel
812,Lalala,Y2K,pop rap,2019,1969-12-31,130.0,39.0,84.0,-8.0,14.0,50.0,161,18.0,8.0,93,israel
813,7 rings,Ariana Grande,dance pop,2019,1969-12-31,140.0,32.0,78.0,-11.0,9.0,33.0,179,59.0,33.0,92,israel
814,My Oh My (feat. DaBaby),Camila Cabello,dance pop,2019,1969-12-31,105.0,49.0,72.0,-6.0,9.0,38.0,171,2.0,3.0,91,israel
815,Señorita,Shawn Mendes,canadian pop,2019,1969-12-31,117.0,55.0,76.0,-6.0,8.0,75.0,191,4.0,3.0,89,israel
816,Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,1969-12-31,93.0,65.0,64.0,-8.0,8.0,55.0,198,12.0,19.0,86,israel
817,I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,1969-12-31,102.0,68.0,80.0,-5.0,9.0,84.0,220,9.0,4.0,85,israel
818,Nevermind,Dennis Lloyd,israeli pop,2017,1969-12-31,100.0,69.0,60.0,-8.0,41.0,8.0,157,16.0,20.0,81,israel
819,Never Go Back,Dennis Lloyd,israeli pop,2019,1969-12-31,79.0,65.0,42.0,-5.0,11.0,73.0,175,1.0,40.0,76,israel
820,Unfaithful,Dennis Lloyd,israeli pop,2019,1969-12-31,76.0,57.0,64.0,-5.0,25.0,42.0,141,1.0,5.0,69,israel
821,<U+05DE><U+05E1><U+05E2>,Eliad,israeli pop,2019,1969-12-31,115.0,66.0,80.0,-7.0,10.0,59.0,207,12.0,4.0,59,israel
822,<U+05E0><U+05D7><U+05DB><U+05D4> <U+05DC><U+05DA>,Nathan Goshen,israeli pop,2019,1969-12-31,75.0,47.0,54.0,-8.0,7.0,46.0,207,49.0,3.0,58,israel
823,<U+05D0><U+05DC><U+05D5><U+05E3> <U+05D4><U+05E2><U+05D5><U+05DC><U+05DD>,Hanan Ben Ari,israeli pop,2019,1969-12-31,128.0,43.0,58.0,-8.0,13.0,22.0,216,75.0,5.0,58,israel
824,<U+05DC><U+05E9><U+05D5><U+05D1> <U+05D4><U+05D1><U+05D9><U+05EA><U+05D4>,Ishay Ribo,israeli pop,2018,1969-12-31,104.0,45.0,73.0,-9.0,9.0,63.0,197,51.0,3.0,57,israel
825,'<U+05E4><U+05D0><U+05D5><U+05E5>,Noa Kirel,israeli pop,2019,1969-12-31,140.0,66.0,80.0,-7.0,25.0,79.0,167,23.0,6.0,56,israel
826,<U+05D0><U+05D9><U+05DF> <U+05D9><U+05D5><U+05EA><U+05E8> <U+05DE><U+05D5><U+05E2><U+05D3><U+05D5><U+05E0><U+05D9><U+05DD>,Eden Hason,israeli mediterranean,2019,1969-12-31,90.0,61.0,61.0,-5.0,7.0,63.0,184,10.0,6.0,56,israel
827,<U+05DB><U+05EA><U+05D1><U+05EA><U+05D9> <U+05E2><U+05DC><U+05D9><U+05D9><U+05DA> <U+05E9><U+05D9><U+05E8>,Omer Adam,israeli mediterranean,2019,1969-12-31,92.0,61.0,82.0,-7.0,5.0,65.0,169,25.0,11.0,56,israel
828,<U+05D4><U+05DC><U+05D1> <U+05E9><U+05DC><U+05D9>,Omer Adam,israeli mediterranean,2019,1969-12-31,129.0,38.0,41.0,-7.0,11.0,32.0,317,83.0,3.0,56,israel
829,<U+05D0><U+05D2><U+05E8><U+05D5><U+05E3>,Eden Ben Zaken,israeli mediterranean,2019,1969-12-31,120.0,52.0,54.0,-9.0,21.0,27.0,189,54.0,6.0,55,israel
830,<U+05DE><U+05DE><U+05D4> <U+05D0><U+05EA> <U+05DE><U+05E4><U+05D7><U+05D3><U+05EA>,Eyal Golan,israeli mediterranean,2019,1969-12-31,132.0,38.0,64.0,-8.0,11.0,39.0,192,64.0,4.0,55,israel
831,<U+05DE><U+05EA><U+05D2><U+05E2><U+05D2><U+05E2><U+05EA>,Nathan Goshen,israeli pop,2019,1969-12-31,137.0,35.0,63.0,-7.0,53.0,19.0,182,3.0,4.0,55,israel
832,<U+05E0><U+05D9><U+05E6><U+05D7><U+05EA> <U+05D0><U+05D9><U+05EA><U+05D9> <U+05D4><U+05DB><U+05DC> <U+05DC><U+05D9><U+05D9><U+05D1>,Ishay Ribo,israeli pop,2019,1969-12-31,98.0,56.0,38.0,-6.0,98.0,24.0,302,53.0,3.0,54,israel
833,<U+05DB><U+05E9><U+05E0><U+05D2><U+05DE><U+05E8><U+05EA> <U+05D4><U+05E1><U+05D5><U+05E4><U+05D4>,Eden Hason,israeli mediterranean,2019,1969-12-31,136.0,55.0,60.0,-6.0,34.0,58.0,216,16.0,3.0,54,israel
834,<U+05DE><U+05D0><U+05D5><U+05E9><U+05E8><U+05D9><U+05DD>,Doli & Penn,israeli pop,2019,1969-12-31,128.0,80.0,63.0,-5.0,17.0,67.0,232,21.0,6.0,54,israel
835,<U+05D0><U+05D7><U+05EA> <U+05D5><U+05DC><U+05EA><U+05DE><U+05D9><U+05D3>,Ishay Ribo,israeli pop,2018,1969-12-31,96.0,48.0,60.0,-10.0,11.0,44.0,245,48.0,3.0,54,israel
836,<U+05D3><U+05D9><U+05D1><U+05D5><U+05E8> <U+05E0><U+05D2><U+05D5><U+05E2>,Mergui,israeli hip hop,2019,1969-12-31,97.0,49.0,90.0,-4.0,8.0,73.0,166,6.0,17.0,53,israel
837,<U+05DB><U+05E4><U+05D9><U+05D5><U+05EA>,Eden Hason,israeli mediterranean,2019,1969-12-31,120.0,50.0,64.0,-7.0,12.0,33.0,180,51.0,4.0,53,israel
838,<U+05DE><U+05D9><U+05E9><U+05D4><U+05D5> <U+05D0><U+05D9><U+05EA><U+05D9> <U+05DB><U+05D0><U+05DF>,Benaia Barabi,israeli mediterranean,2019,1969-12-31,100.0,63.0,72.0,-6.0,12.0,38.0,219,73.0,3.0,53,israel
839,<U+05D7><U+05DC><U+05E7> <U+05DE><U+05D4><U+05D6><U+05DE><U+05DF>,Idan Amedi,israeli pop,2017,1969-12-31,68.0,46.0,57.0,-8.0,13.0,64.0,223,63.0,3.0,53,israel
840,<U+05D4><U+05DC><U+05D1> <U+05E9><U+05DC><U+05D9>,Ishay Ribo,israeli pop,2019,1969-12-31,136.0,42.0,56.0,-9.0,7.0,26.0,239,64.0,3.0,52,israel
841,<U+05D1><U+05D0><U+05EA><U+05D9> <U+05DC><U+05D7><U+05DC><U+05D5><U+05DD>,Nathan Goshen,israeli pop,2018,1969-12-31,171.0,72.0,36.0,-7.0,8.0,38.0,199,17.0,11.0,52,israel
842,<U+05E9><U+05DE><U+05E9>,Hanan Ben Ari,israeli pop,2019,1969-12-31,124.0,42.0,50.0,-9.0,9.0,11.0,238,57.0,4.0,52,israel
843,<U+05D1><U+05DE><U+05E7><U+05D5><U+05DD> <U+05D4><U+05DB><U+05D9> <U+05E8><U+05D7><U+05D5><U+05E7>,Benaia Barabi,israeli mediterranean,2019,1969-12-31,112.0,56.0,68.0,-7.0,36.0,36.0,201,59.0,5.0,51,israel
844,<U+05E9><U+05DE><U+05D9><U+05E9><U+05D4><U+05D5> <U+05D9><U+05E2><U+05E6><U+05D5><U+05E8> <U+05D0><U+05D5><U+05EA><U+05D9>,Eden Hason,israeli mediterranean,2019,1969-12-31,134.0,57.0,66.0,-6.0,11.0,51.0,224,51.0,4.0,51,israel
845,"<U+05E2><U+05D1>""<U+05DE>",Tuna,israeli hip hop,2019,1969-12-31,67.0,68.0,66.0,-8.0,12.0,48.0,323,45.0,20.0,50,israel
846,<U+05DC><U+05E7><U+05D7><U+05EA> <U+05D0><U+05EA> <U+05D4><U+05DE><U+05E4><U+05EA><U+05D7><U+05D5><U+05EA>,Itay Levi,israeli mediterranean,2019,1969-12-31,74.0,44.0,47.0,-6.0,10.0,35.0,208,66.0,13.0,48,israel
847,<U+05E6><U+05D1><U+05E2><U+05D9><U+05DD>,Gil Vain,israeli mediterranean,2019,1969-12-31,140.0,55.0,73.0,-8.0,13.0,73.0,208,80.0,5.0,48,israel
848,<U+05E7><U+05D9><U+05E8><U+05D5><U+05EA>,Itay Levi,israeli mediterranean,2019,1969-12-31,123.0,57.0,78.0,-8.0,18.0,50.0,197,40.0,7.0,46,israel
849,Ve'Eem Tavo'ee Elay (And If You Will Come To Me),Idan Raichel,classic israeli pop,2019,1969-12-31,112.0,88.0,73.0,-5.0,10.0,23.0,213,50.0,3.0,43,israel
850,Dance Monkey,Tones and I,australian pop,2019,1969-12-31,98.0,59.0,82.0,-6.0,15.0,51.0,209,69.0,9.0,100,italy
851,Memories,Maroon 5,pop,2019,1969-12-31,91.0,32.0,76.0,-7.0,8.0,57.0,189,84.0,5.0,99,italy
852,ROXANNE,Arizona Zervas,pop rap,2019,1969-12-31,117.0,60.0,62.0,-6.0,46.0,46.0,164,5.0,15.0,99,italy
853,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,1969-12-31,150.0,63.0,34.0,-7.0,7.0,35.0,241,16.0,4.0,98,italy
854,RITMO (Bad Boys For Life),The Black Eyed Peas,dance pop,2019,1969-12-31,105.0,72.0,72.0,-7.0,24.0,67.0,222,3.0,7.0,97,italy
855,Falling,Trevor Daniel,alternative r&b,2018,1969-12-31,127.0,43.0,78.0,-9.0,9.0,24.0,159,12.0,4.0,97,italy
856,Santa Tell Me,Ariana Grande,dance pop,2014,1969-12-31,192.0,62.0,53.0,-7.0,29.0,59.0,204,5.0,12.0,95,italy
857,Rockin' Around The Christmas Tree,Brenda Lee,adult standards,1964,1969-12-31,67.0,47.0,59.0,-9.0,51.0,90.0,126,61.0,5.0,93,italy
858,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,1969-12-31,147.0,61.0,33.0,-11.0,77.0,40.0,214,32.0,3.0,92,italy
859,Jingle Bell Rock,Bobby Helms,adult standards,1992,1969-12-31,120.0,42.0,75.0,-8.0,7.0,81.0,131,64.0,4.0,92,italy
860,Mistletoe,Justin Bieber,canadian pop,2011,1969-12-31,162.0,56.0,66.0,-9.0,8.0,85.0,183,50.0,5.0,92,italy
861,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,1969-12-31,202.0,60.0,24.0,-8.0,12.0,78.0,152,77.0,4.0,92,italy
862,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,adult standards,1994,1969-12-31,142.0,26.0,65.0,-13.0,36.0,84.0,155,90.0,6.0,91,italy
863,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,album rock,1980,1969-12-31,95.0,51.0,77.0,-9.0,7.0,77.0,228,32.0,3.0,91,italy
864,Ayy Macarena,Tyga,pop rap,2019,1969-12-31,96.0,63.0,82.0,-6.0,7.0,72.0,132,13.0,23.0,90,italy
865,Underneath the Tree,Kelly Clarkson,dance pop,2013,1969-12-31,160.0,81.0,51.0,-5.0,21.0,69.0,230,0.0,5.0,88,italy
866,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,heartland rock,1981,1969-12-31,140.0,67.0,36.0,-8.0,73.0,41.0,268,36.0,5.0,86,italy
867,Last Christmas,Wham!,new wave pop,1984,1969-12-31,108.0,48.0,74.0,-12.0,36.0,95.0,263,19.0,3.0,85,italy
868,Feliz Navidad,José Feliciano,latin pop,2001,1969-12-31,149.0,86.0,49.0,-7.0,35.0,96.0,182,53.0,4.0,85,italy
869,You Make It Feel Like Christmas (feat. Blake Shelton),Gwen Stefani,dance pop,2017,1969-12-31,93.0,87.0,64.0,-4.0,12.0,91.0,157,2.0,4.0,85,italy
870,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,1969-12-31,93.0,22.0,33.0,-11.0,34.0,36.0,207,88.0,3.0,84,italy
871,fuck 3x,tha Supreme,trap italiana,2019,1969-12-31,180.0,81.0,66.0,-5.0,11.0,69.0,161,7.0,8.0,82,italy
872,Holly Jolly Christmas,Michael Bublé,adult standards,2011,1969-12-31,151.0,43.0,61.0,-9.0,9.0,74.0,122,86.0,4.0,82,italy
873,Happy Xmas (War Is Over),Céline Dion,canadian pop,1998,1969-12-31,172.0,60.0,34.0,-5.0,28.0,16.0,255,45.0,3.0,82,italy
874,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,italian hip hop,2019,1969-12-31,141.0,66.0,66.0,-6.0,13.0,51.0,223,7.0,6.0,81,italy
875,blun7 a swishland,tha Supreme,trap italiana,2019,1969-12-31,130.0,79.0,69.0,-6.0,26.0,57.0,168,13.0,25.0,80,italy
876,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,italian hip hop,2019,1969-12-31,120.0,73.0,75.0,-6.0,19.0,27.0,208,1.0,7.0,80,italy
877,CRUDELIA - I nervi,Marracash,italian hip hop,2019,1969-12-31,82.0,55.0,55.0,-8.0,34.0,7.0,231,15.0,10.0,80,italy
878,Soldi in Nero - feat. Sfera Ebbasta,Shiva,italian hip hop,2019,1969-12-31,158.0,66.0,75.0,-5.0,17.0,35.0,184,15.0,28.0,79,italy
879,Pookie (feat. Capo Plaza) - Remix,Aya Nakamura,basshall,2019,1969-12-31,98.0,62.0,84.0,-7.0,10.0,51.0,188,6.0,13.0,78,italy
880,sw1n6o - feat. Salmo,tha Supreme,trap italiana,2019,1969-12-31,170.0,83.0,57.0,-6.0,79.0,79.0,184,12.0,9.0,78,italy
881,m12ano - feat. Mara Sattei,tha Supreme,trap italiana,2019,1969-12-31,65.0,51.0,58.0,-6.0,8.0,48.0,188,4.0,4.0,78,italy
882,Chiasso,Random,italian hip hop,2019,1969-12-31,92.0,45.0,72.0,-13.0,10.0,46.0,182,25.0,19.0,78,italy
883,Santa Claus Is Comin' to Town,Frank Sinatra,adult standards,1994,1969-12-31,140.0,20.0,65.0,-12.0,31.0,69.0,155,83.0,6.0,78,italy
884,Bossoli,Shiva,italian hip hop,2019,1969-12-31,145.0,66.0,83.0,-8.0,14.0,80.0,179,44.0,26.0,77,italy
885,BRAVI A CADERE - I polmoni,Marracash,italian hip hop,2019,1969-12-31,95.0,69.0,61.0,-6.0,10.0,28.0,200,16.0,10.0,77,italy
886,Barrio,Mahmood,italian arena pop,2019,1969-12-31,122.0,70.0,80.0,-7.0,11.0,57.0,165,6.0,7.0,77,italy
887,Gigolò (feat. Sfera Ebbasta & Capo Plaza),Lazza,italian hip hop,2019,1969-12-31,98.0,63.0,80.0,-9.0,9.0,39.0,164,9.0,14.0,77,italy
888,occh1 purpl3 - feat. Marracash,tha Supreme,trap italiana,2019,1969-12-31,134.0,81.0,66.0,-5.0,16.0,55.0,188,9.0,16.0,77,italy
889,Non Avere Paura,Tommaso Paradiso,italian arena pop,2019,1969-12-31,105.0,68.0,57.0,-6.0,11.0,24.0,247,43.0,4.0,77,italy
890,"CHARLES MANSON (BUON NATALE2) (feat. Lazza) - feat. Dani Faiv, Nitro",Salmo,italian hip hop,2019,1969-12-31,120.0,83.0,72.0,-5.0,44.0,48.0,258,1.0,21.0,76,italy
891,Tutto Questo Sei Tu,Ultimo,italian pop,2019,1969-12-31,162.0,51.0,45.0,-6.0,11.0,42.0,245,44.0,3.0,76,italy
892,Una volta ancora (feat. Ana Mena),Fred De Palma,italian arena pop,2019,1969-12-31,124.0,64.0,77.0,-5.0,10.0,59.0,174,8.0,6.0,76,italy
893,ch1 5ei te,tha Supreme,trap italiana,2019,1969-12-31,88.0,78.0,49.0,-6.0,16.0,32.0,184,5.0,7.0,76,italy
894,Santa Claus Is Coming to Town,Michael Bublé,adult standards,2011,1969-12-31,123.0,40.0,59.0,-7.0,4.0,42.0,172,79.0,5.0,75,italy
895,GANG (feat. Geolier),Samurai Jay,italian hip hop,2019,1969-12-31,95.0,46.0,80.0,-11.0,21.0,58.0,162,4.0,24.0,75,italy
896,Holly & Benji (feat. Capo Plaza & Shiva),AVA,italian hip hop,2019,1969-12-31,78.0,79.0,42.0,-6.0,11.0,50.0,220,1.0,27.0,74,italy
897,ANSIA NO,FSK SATELLITE,italian hip hop,2019,1969-12-31,160.0,68.0,82.0,-7.0,22.0,71.0,149,15.0,56.0,73,italy
898,m8nstar,tha Supreme,trap italiana,2019,1969-12-31,165.0,76.0,58.0,-6.0,11.0,44.0,165,5.0,4.0,73,italy
899,Cin Cin,Alfa,italian arena pop,2019,1969-12-31,121.0,63.0,70.0,-4.0,13.0,37.0,180,26.0,3.0,65,italy
900,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,1969-12-31,150.0,63.0,34.0,-7.0,7.0,35.0,241,16.0,4.0,98,japan
901,bad guy,Billie Eilish,electropop,2019,1969-12-31,135.0,43.0,70.0,-11.0,10.0,56.0,194,33.0,38.0,96,japan
902,Santa Tell Me,Ariana Grande,dance pop,2014,1969-12-31,192.0,62.0,53.0,-7.0,29.0,59.0,204,5.0,12.0,95,japan
903,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,1969-12-31,147.0,61.0,33.0,-11.0,77.0,40.0,214,32.0,3.0,92,japan
904,Underneath the Tree,Kelly Clarkson,dance pop,2013,1969-12-31,160.0,81.0,51.0,-5.0,21.0,69.0,230,0.0,5.0,88,japan
905,Shape of You,Ed Sheeran,pop,2017,1969-12-31,96.0,65.0,83.0,-3.0,9.0,93.0,234,58.0,8.0,87,japan
906,Last Christmas,Wham!,new wave pop,1984,1969-12-31,108.0,48.0,74.0,-12.0,36.0,95.0,263,19.0,3.0,85,japan
907,Gurenge,LiSA,anime rock,2019,1969-12-31,135.0,98.0,55.0,-3.0,8.0,31.0,239,0.0,15.0,73,japan
908,<U+30CE><U+30FC><U+30C0><U+30A6><U+30C8>,Official HIGE DANdism,anime rock,2018,1969-12-31,150.0,94.0,57.0,-3.0,34.0,79.0,202,6.0,7.0,72,japan
909,115<U+4E07><U+30AD><U+30ED><U+306E><U+30D5><U+30A3><U+30EB><U+30E0>,Official HIGE DANdism,anime rock,2018,1969-12-31,97.0,79.0,51.0,-2.0,14.0,48.0,325,0.0,3.0,71,japan
910,<U+30AF><U+30EA><U+30B9><U+30DE><U+30B9><U+30BD><U+30F3><U+30B0>,back number,j-pop,2015,1969-12-31,154.0,71.0,40.0,-3.0,12.0,42.0,340,13.0,3.0,70,japan
911,<U+9AD8><U+5DBA><U+306E><U+82B1><U+5B50><U+3055><U+3093>,back number,j-pop,2014,1969-12-31,138.0,92.0,54.0,-3.0,12.0,34.0,295,7.0,6.0,69,japan
912,<U+541B><U+306F><U+30ED><U+30C3><U+30AF><U+3092><U+8074><U+304B><U+306A><U+3044>,Aimyon,j-acoustic,2017,1969-12-31,100.0,69.0,52.0,-4.0,17.0,62.0,246,0.0,3.0,69,japan
913,<U+305F><U+3060><U+541B><U+306B><U+6674><U+308C>,Yorushika,j-pop,2018,1969-12-31,140.0,83.0,68.0,-3.0,12.0,96.0,199,34.0,3.0,69,japan
914,HANABI,Mr.Children,j-pop,2008,1969-12-31,112.0,77.0,64.0,-6.0,12.0,60.0,343,16.0,3.0,68,japan
